,SEVERITYCODE,X,Y,OBJECTID,INCKEY,COLDETKEY,REPORTNO,STATUS,ADDRTYPE,INTKEY,LOCATION,EXCEPTRSNCODE,EXCEPTRSNDESC,SEVERITYCODE.1,SEVERITYDESC,COLLISIONTYPE,PERSONCOUNT,PEDCOUNT,PEDCYLCOUNT,VEHCOUNT,INCDATE,INCDTTM,JUNCTIONTYPE,SDOT_COLCODE,SDOT_COLDESC,INATTENTIONIND,UNDERINFL,WEATHER,ROADCOND,LIGHTCOND,PEDROWNOTGRNT,SDOTCOLNUM,SPEEDING,ST_COLCODE,ST_COLDESC,SEGLANEKEY,CROSSWALKKEY,HITPARKEDCAR
9951,1,,,12519,26299,26299,1787724,Matched,Alley,,,,,1,Property Damage Only Collision,Other,1,0,0,1,2004/02/11 00:00:00+00,2/11/2004 9:44:00 PM,Mid-Block (not related to intersection),0,NOT ENOUGH INFORMATION / NOT APPLICABLE,Y,0,Clear,Dry,Dark - Street Lights On,,4042019.0,,50,Fixed object,0,0,N
9952,1,-122.3213554,47.63782111,12520,25427,25427,1789758,Matched,Block,,BROADWAY E BETWEEN E NEWTON ST AND E BOSTON ST,,,1,Property Damage Only Collision,Parked Car,2,0,0,2,2004/01/28 00:00:00+00,1/28/2004 11:44:00 AM,Mid-Block (not related to intersection),15,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, RIGHT SIDE SIDESWIPE",,0,Clear,Dry,Daylight,,4028048.0,,32,One parked--one moving,0,0,N
9953,1,,,12521,25451,25451,1783427,Matched,Block,,FAIRVIEW AVE N BETWEEN FAIRVIEW AV OFF RP AND ROY ST,,,1,Property Damage Only Collision,Rear Ended,2,0,0,2,2004/08/04 00:00:00+00,8/4/2004,Mid-Block (not related to intersection),14,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",Y,0,Clear,Dry,Daylight,,4217013.0,,14,From same direction - both going straight - one stopped - rear-end,0,0,N
9954,2,-122.3049896,47.61147434,12524,25325,25325,1772670,Matched,Block,,21ST AVE BETWEEN E MARION ST AND E UNION ST,,,2,Injury Collision,Sideswipe,4,0,0,2,2004/06/06 00:00:00+00,6/6/2004,Mid-Block (not related to intersection),15,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, RIGHT SIDE SIDESWIPE",,0,Clear,Wet,Dark - Street Lights On,,4158013.0,,12,From same direction - both going straight - one stopped - sideswipe,0,0,N
9955,1,-122.3601467,47.55732899,12525,26456,26456,1198002,Matched,Intersection,32931.0,21ST AVE SW AND SW DAWSON ST,,,1,Property Damage Only Collision,Other,1,0,0,1,2004/11/14 00:00:00+00,11/14/2004 6:46:00 PM,At Intersection (intersection related),26,MOTOR VEHICLE STRUCK OBJECT IN ROAD,,0,Raining,Wet,Dark - Street Lights On,,4319002.0,,50,Fixed object,0,0,N
9956,1,-122.2923114,47.73011394,12527,26906,26906,1072722,Matched,Intersection,36007.0,LAKE CITY WAY NE AND NE 140TH ST,,,1,Property Damage Only Collision,Angles,2,0,0,2,2004/06/23 00:00:00+00,6/23/2004 4:48:00 PM,At Intersection (intersection related),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,0,Clear,Dry,Daylight,,4175003.0,,10,Entering at angle,0,0,N
9957,1,-122.3330084,47.60703308,12528,25129,25129,1777409,Matched,Block,,SPRING ST BETWEEN 4TH AVE AND 5TH AVE,,,1,Property Damage Only Collision,Sideswipe,2,0,0,2,2004/04/01 00:00:00+00,4/1/2004,Mid-Block (not related to intersection),16,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, LEFT SIDE SIDESWIPE",Y,0,Clear,Dry,Daylight,,4092046.0,,11,From same direction - both going straight - both moving - sideswipe,0,0,N
9958,2,-122.35931470000001,47.69061787,12529,25495,25495,1773861,Matched,Block,,NW 85TH ST BETWEEN 1ST AVE NW AND 3RD AVE NW,,,2,Injury Collision,Other,2,0,0,2,2004/05/03 00:00:00+00,5/3/2004,Driveway Junction,11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,0,Clear,Dry,Daylight,,4124016.0,,22,One car leaving driveway access,0,0,N
9959,1,-122.3200348,47.61640706,12530,25045,25045,1772460,Matched,Block,,NAGLE PL BETWEEN E PINE ST AND E OLIVE ST,,,1,Property Damage Only Collision,Parked Car,2,0,0,2,2004/06/16 00:00:00+00,6/16/2004 5:45:00 PM,Mid-Block (not related to intersection),13,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, LEFT SIDE AT ANGLE",,0,Clear,Dry,Daylight,,4168011.0,,32,One parked--one moving,0,0,N
9960,2,-122.3353731,47.61213646,12531,26031,26031,1213966,Matched,Intersection,29568.0,6TH AVE AND PINE ST,,,2,Injury Collision,Sideswipe,2,0,0,2,2004/08/26 00:00:00+00,8/26/2004 6:11:00 PM,At Intersection (intersection related),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,0,Clear,Dry,Daylight,,4239032.0,,81,Same direction -- both turning left -- both moving -- sideswipe,0,0,N
9961,1,-122.3544777,47.65438843,12534,24959,24959,1782263,Matched,Block,,PHINNEY AVE N BETWEEN N 39TH ST AND N BOWDOIN PL,,,1,Property Damage Only Collision,Parked Car,2,0,0,2,2004/09/09 00:00:00+00,9/9/2004,Mid-Block (not related to intersection),13,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, LEFT SIDE AT ANGLE",,0,Unknown,Unknown,Dark - Street Lights On,,4253009.0,,32,One parked--one moving,0,0,N
9962,1,-122.3446898,47.70468772,12535,26103,26103,1773416,Matched,Block,,AURORA AVE N BETWEEN N 104TH ST AND N NORTHGATE WAY,,,1,Property Damage Only Collision,Other,1,0,0,1,2004/05/22 00:00:00+00,5/22/2004 1:15:00 PM,Mid-Block (but intersection related),28,MOTOR VEHICLE RAN OFF ROAD - HIT FIXED OBJECT,,0,Raining,Wet,Daylight,,4143001.0,Y,50,Fixed object,0,0,N
